system   D            wsystem.c:583  maybe_parent_dir                 [   0.00048] Also searching C:\Users\Michael\Documents\Visual Studio 2010\Projects\UntitledGame\
system   D            wsystem.c:630  _al_win_safe_load_library        [   0.00092] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00098] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00249] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:879  _al_d3d_init_display             [   0.02098] Render-to-texture: 1
system   I             system.c:270  al_install_system                [   0.02109] Allegro version: 5.0.5
d3d      I         d3d_disp.cpp:1919 d3d_create_display_locked        [   0.02254] faux_fullscreen=0
display  D   display_settings.c:486  _al_score_display_settings       [   0.02547] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02553] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02556] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02558] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02560] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02563] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02565] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02568] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02571] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02573] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02575] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02578] Score is : 737
display  D   display_settings.c:357  _al_score_display_settings       [   0.02580] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02582] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02585] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02587] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02589] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02592] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02594] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02596] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02599] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02601] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02603] Single Buffer requirement not met.
